Scene Number,Frame Number (Start),Timecode,Start Time (seconds),Length (seconds)
316,17238,00:25:02.026,1502.0268646864686,2.439769823136203
317,17266,00:25:04.466,1504.4666345096048,2.5269044596766435
318,17295,00:25:06.993,1506.9935389692814,7.580713379030385
319,17382,00:25:14.574,1514.5742523483118,1.9169620038926496
320,17404,00:25:16.491,1516.4912143522045,6.883636286705496
321,17483,00:25:23.374,1523.37485063891,4.618135736650629
322,17536,00:25:27.992,1527.9929863755606,2.178365913514426
323,17561,00:25:30.171,1530.171352289075,2.265500550055094
324,17587,00:25:32.436,1532.43685283913,2.701173732757752
325,17618,00:25:35.138,1535.1380265718878,9.323406109841926
326,17725,00:25:44.461,1544.4614326817298,2.4397698231359755
327,17753,00:25:46.901,1546.9012025048658,3.921058644325967
328,17798,00:25:50.822,1550.8222611491917,2.178365913514426
329,17823,00:25:53.000,1553.0006270627061,2.526904459676871
330,17852,00:25:55.527,1555.527531522383,2.265500550054867
331,17878,00:25:57.793,1557.7930320724379,2.0912312769739856
332,17902,00:25:59.884,1559.8842633494119,5.750886011677949
333,17968,00:26:05.635,1565.6351493610898,2.6140390962173115
334,17998,00:26:08.249,1568.2491884573071,1.4812888211899917
335,18015,00:26:09.730,1569.7304772784971,1.4812888211897643
336,18032,00:26:11.211,1571.2117660996869,2.5269044596766435
337,18061,00:26:13.738,1573.7386705593635,3.1368469154608647
338,18097,00:26:16.875,1576.8755174748244,1.5684234577304323
339,18115,00:26:18.443,1578.4439409325548,2.701173732757752
340,18146,00:26:21.145,1581.1451146653126,3.2239815520015327
341,18183,00:26:24.369,1584.369096217314,3.6596547347041906
342,18225,00:26:28.028,1588.0287509520183,4.618135736650629
343,18278,00:26:32.646,1592.646886688669,2.78830836929842
344,18310,00:26:35.435,1595.4351950579673,2.875443005839088
345,18343,00:26:38.310,1598.3106380638064,4.70527037319107
346,18397,00:26:43.015,1603.0159084369975,16.119907760006754
347,18582,00:26:59.135,1619.1358161970043,1.742692730811541
348,18602,00:27:00.878,1620.8785089278158,1.9169620038926496
349,18624,00:27:02.795,1622.7954709317085,1.4812888211899917
350,18641,00:27:04.276,1624.2767597528984,2.6140390962173115
351,18671,00:27:06.890,1626.8907988491158,1.655558094270873
352,18690,00:27:08.546,1628.5463569433866,2.178365913514426
353,18715,00:27:10.724,1630.724722856901,3.0497122789201967
354,18750,00:27:13.774,1633.7744351358212,2.091231276973758
355,18774,00:27:15.865,1635.865666412795,1.6555580942711003
356,18793,00:27:17.521,1637.521224507066,5.228078192434623
357,18853,00:27:22.749,1642.7493026995007,1.742692730811541
358,18873,00:27:24.491,1644.4919954303123,1.3941541846490964
359,18889,00:27:25.886,1645.8861496149614,1.742692730811541
360,18909,00:27:27.628,1647.628842345773,1.742692730811541
361,18929,00:27:29.371,1649.3715350765845,5.4894821020563995
362,18992,00:27:34.861,1654.8610171786409,2.6140390962173115
363,19022,00:27:37.475,1657.4750562748582,4.705270373191297
364,19076,00:27:42.180,1662.1803266480495,2.78830836929842
365,19108,00:27:44.968,1664.9686350173479,2.439769823136203
366,19136,00:27:47.408,1667.408404840484,2.091231276973758
367,19160,00:27:49.499,1669.4996361174578,1.6555580942711003
368,19179,00:27:51.155,1671.155194211729,1.568423457730205
369,19197,00:27:52.723,1672.7236176694591,1.829827367352209
370,19218,00:27:54.553,1674.5534450368114,2.0040966404333176
371,19241,00:27:56.557,1676.5575416772447,1.655558094270873
372,19260,00:27:58.213,1678.2130997715155,2.0912312769739856
373,19284,00:28:00.304,1680.3043310484895,1.568423457730205
374,19302,00:28:01.872,1681.8727545062197,2.0040966404333176
375,19325,00:28:03.876,1683.876851146653,1.3941541846493237
376,19341,00:28:05.271,1685.2710053313024,1.8298273673519816
377,19362,00:28:07.100,1687.1008326986544,1.742692730811541
378,19382,00:28:08.843,1688.843525429466,1.742692730811541
379,19402,00:28:10.586,1690.5862181602774,2.0040966404333176
380,19425,00:28:12.590,1692.5903148007108,1.742692730811541
381,19445,00:28:14.333,1694.3330075315223,1.4812888211897643
382,19462,00:28:15.814,1695.814296352712,1.3941541846493237
383,19478,00:28:17.208,1697.2084505373614,1.3070195481086557
384,19493,00:28:18.515,1698.51547008547,1.4812888211897643
385,19510,00:28:19.996,1699.9967589066598,1.829827367352209
386,19531,00:28:21.826,1701.826586274012,6.36082846746217
387,19604,00:28:28.187,1708.1874147414742,5.4023474655157315
388,19666,00:28:33.589,1713.58976220699,3.6596547347041906
389,19708,00:28:37.249,1717.249416941694,7.842117288651934
390,19798,00:28:45.091,1725.091534230346,6.970770923246164
391,19878,00:28:52.062,1732.0623051535922,8.626329017517264
392,19977,00:29:00.688,1740.6886341711095,3.398250825082414
393,20016,00:29:04.086,1744.0868849961919,6.447963104002611
394,20090,00:29:10.534,1750.5348481001945,4.618135736650629
395,20143,00:29:15.152,1755.1529838368451,3.8339240077855266
396,20187,00:29:18.986,1758.9869078446307,1.8298273673519816
397,20208,00:29:20.816,1760.8167352119826,3.3982508250826413
